“¿ƒ»¡≈…;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Õ¿»¡ŒÀ‹ÿ»…;-1;-1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
”œŒ–Õ€…;-1;-1;1;1;2;1;2;1;0;2;3;2;0;3;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;4;0;2;2;0;0;0;0;0;1;0;0;0;1;4;2;2;2;0;1;1;1;2;1;2;1;2;0;0;0;1;0;3;0;0;0;1;0;2;1;0;4;0;3;0;0;1;0;1;0;0;1;0;1;0;0;2;1;1;3;0;3;2;2;0;5;2;0;0;3;1;1;
¬»ƒ≈“‹;ﬂ;3;4;1;13;16;5;5;11;10;5;12;9;3;9;1;1;1;11;5;10;2;6;7;9;8;13;10;15;5;8;4;1;2;10;14;7;18;5;3;4;8;7;3;2;6;9;13;11;8;8;7;7;5;11;6;14;4;13;6;14;11;5;0;10;4;2;0;5;9;15;6;10;6;7;5;14;23;2;5;0;0;10;9;8;6;2;5;15;2;20;4;2;3;12;11;13;3;8;8;6;10;
–¿‘¿›À‹;-1;-1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;
—¬¿Àﬂ“‹;-1;-1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;
Œ÷≈œ≈Õ≈“‹;-1;-1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
¡–≈Õƒ;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
»Õƒ» ¿“Œ–;-1;-1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
–¿«¬À≈◊≈Õ»≈;-1;-1;4;6;1;1;1;0;1;2;1;0;2;1;1;0;0;0;2;0;0;3;0;0;3;2;5;0;2;1;1;1;0;0;1;1;4;0;0;1;0;1;0;0;0;0;0;0;3;0;0;0;0;1;0;2;0;2;0;1;0;3;0;1;0;0;0;0;0;4;1;0;2;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;1;1;1;0;2;0;1;
